session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume,prev_pdh,prev_pdl,prev_vah,prev_val,prev_poc,prev_session_volume,prev_ib_volume,relative_ib_vol_pdv,relative_ib2_volume,high_impact_during_rth,opening_range_midpoint,opening_touch_pdh,opening_touch_pdl,opening_touch_vah,opening_touch_val,opening_touch_poc,rth_touch_pdh,rth_touch_pdl,rth_touch_vah,rth_touch_val,rth_touch_poc,rth_breach_above_pdh,rth_breach_above_pdl,rth_breach_above_vah,rth_breach_above_val,rth_breach_above_poc,rth_breach_below_pdh,rth_breach_below_pdl,rth_breach_below_vah,rth_breach_below_val,rth_breach_below_poc,rth_close_vs_pdh,rth_close_vs_pdl,rth_close_vs_vah,rth_close_vs_val,rth_close_vs_poc,opening_close_vs_pdh,opening_close_vs_pdl,opening_close_vs_vah,opening_close_vs_val,opening_close_vs_poc,discovery_up,discovery_down,balance_day,extension_up_normib,extension_down_normib,nearest_prior_level_to_open,nearest_prior_level_to_open_distance
2025-01-15,06:30,13:00,21408.5,21186.5,222.0,21297.5,353319.0,1093297.0,0.3231683613876193,21452.75,21186.5,21399.75,False,failed_high,high,21393.75,,14.75,0.06644144144144144,10,21285.0,21186.5,98.5,21251.75,down,auction,21252.25,21237.0,-15.25,10768.0,21129.25,20773.25,21118.25,20883.25,21060.5,1393590.0,,0.25353152648913957,,False,21235.75,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.19932432432432431,0.0,pdh,106.5
2025-01-16,06:30,13:00,21498.0,21336.0,162.0,21417.0,373553.0,1174365.0,0.3180893504149051,21498.0,21244.25,21247.75,False,none,low,,,91.0,0.5617283950617284,10,21498.0,21405.75,92.25,21446.5,down,auction,21495.0,21464.5,-30.5,8145.0,21452.75,21186.5,21377.0,21214.0,21302.25,1121999.0,353319.0,0.33293523434512867,1.0572683608863378,False,21451.875,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,below,above,below,above,below,within,above,above,above,above,False,True,False,0.0,0.566358024691358,pdh,0.875
2025-01-17,06:30,13:00,21653.5,21481.0,172.5,21567.25,415256.0,1068810.0,0.3885218139800339,21672.5,21481.0,21601.0,False,failed_high,high,21580.0,,73.5,0.4260869565217391,10,21653.5,21512.5,141.0,21524.5,down,auction,21651.0,21599.25,-51.75,16553.0,21498.0,21171.75,21475.0,21355.75,21390.0,1221618.0,373553.0,0.3399229546388478,1.1116387768268492,False,21583.0,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.11014492753623188,0.0,pdh,85.0
2025-01-20,06:30,13:00,21780.0,21676.75,103.25,21728.375,121371.0,284048.0,0.42729045795076886,21780.0,21623.0,21680.5,False,failed_low,low,,21730.75,54.0,0.5230024213075061,10,21755.0,21713.25,41.75,21741.0,up,auction,21723.5,21724.5,1.0,2503.0,21672.5,21481.0,21611.5,21491.25,21535.75,1097137.0,415256.0,0.11062519995223932,0.2922799429749359,True,21734.125,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,within,above,above,above,above,above,above,above,above,above,False,True,False,0.0,0.5205811138014528,pdh,61.625
2025-01-21,06:30,13:00,21718.5,21525.5,193.0,21622.0,383582.0,985431.0,0.3892530273555429,21772.0,21525.5,21714.5,False,failed_high,high,21697.25,,21.25,0.11010362694300518,10,21718.5,21629.75,88.75,21635.75,down,auction,21710.0,21707.0,-3.0,8908.0,21780.0,21623.0,21772.0,21689.25,21730.25,284048.0,121371.0,1.3504126063200586,3.160408993911231,True,21674.125,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,below,above,below,above,below,below,above,below,below,below,True,False,False,0.2772020725388601,0.0,val,15.125
2025-01-22,06:30,13:00,22037.0,21902.5,134.5,21969.75,313808.0,889169.0,0.3529227852073116,22094.0,21902.5,21997.25,False,failed_high,high,21981.75,,55.25,0.4107806691449814,10,21982.0,21902.5,79.5,21957.5,up,auction,21915.0,21913.75,-1.25,7735.0,21785.0,21525.5,21706.75,21539.5,21623.5,1017439.0,383582.0,0.30842930141266456,0.8180988680386463,False,21942.25,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.42379182156133827,0.0,pdh,157.25
2025-01-23,06:30,13:00,21918.25,21866.0,52.25,21892.125,234493.0,866544.0,0.2706071474731808,22044.0,21866.0,22042.5,False,none,high,,,23.5,0.44976076555023925,10,21910.75,21866.0,44.75,21909.25,up,auction,21889.0,21868.0,-21.0,8176.0,22094.0,21902.5,22062.5,21990.5,22011.25,918793.0,313808.0,0.2552185312687406,0.7472499107734666,True,21888.375,False,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,below,above,below,above,above,below,within,below,below,below,True,False,False,2.4066985645933014,0.0,pdl,14.125
2025-01-24,06:30,13:00,22078.0,21987.5,90.5,22032.75,289522.0,952074.0,0.30409611017630983,22078.0,21843.25,21908.0,False,none,low,,,48.25,0.5331491712707183,10,22052.75,22000.0,52.75,22022.75,down,auction,22044.25,22037.25,-7.0,7776.0,22051.25,21866.0,21952.25,21875.0,21891.75,898637.0,234493.0,0.32217903335829706,1.23467225034436,True,22026.375,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,below,above,below,above,above,below,above,above,above,above,False,True,False,0.0,1.5939226519337018,pdh,24.875
2025-01-27,06:30,13:00,21370.5,21108.25,262.25,21239.375,448511.0,1498638.0,0.29927907873682635,21418.0,21096.75,21259.25,True,failed_both,high,21096.75,21265.0,273.75,1.0438512869399428,10,21291.5,21108.25,183.25,21283.5,up,auction,21123.75,21171.75,48.0,17939.0,22078.0,21843.25,22065.0,21912.75,22006.5,975091.0,289522.0,0.4599683516717927,1.549143070302084,True,21199.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,below,below,below,below,below,below,below,below,below,below,True,True,False,0.1811248808388942,0.0438512869399428,pdl,643.375
2025-01-28,06:30,13:00,21481.25,21160.75,320.5,21321.0,418360.0,1287772.0,0.3248711728473674,21626.0,21160.75,21576.25,False,none,high,,,10.75,0.033541341653666144,10,21319.75,21204.25,115.5,21218.75,down,auction,21302.0,21306.5,4.5,9898.0,21418.0,21096.75,21289.5,21149.5,21225.0,1541647.0,448511.0,0.27137211047665255,0.9327753388434175,True,21262.0,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,above,above,above,above,above,below,above,below,above,within,True,False,False,0.4516380655226209,0.0,vah,27.5
2025-01-29,06:30,13:00,21606.25,21480.5,125.75,21543.375,320237.0,1379689.0,0.2321081055223315,21606.25,21368.0,21530.0,True,failed_low,low,,21601.0,120.5,0.9582504970178927,10,21606.25,21526.25,80.0,21545.0,down,auction,21600.0,21583.5,-16.5,6184.0,21626.0,21160.75,21538.5,21171.75,21192.75,1313804.0,418360.0,0.24374792587022112,0.7654579787742614,True,21566.25,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,below,above,within,above,above,below,above,within,above,above,False,True,False,0.0,0.8946322067594433,vah,27.75
2025-01-30,06:30,13:00,21748.75,21522.0,226.75,21635.375,420601.0,1351195.0,0.3112807551833747,21748.75,21419.0,21621.75,False,failed_low,low,,21700.0,178.0,0.7850055126791621,10,21668.75,21597.25,71.5,21652.25,up,auction,21650.0,21635.75,-14.25,8116.0,21610.0,21368.0,21564.75,21475.5,21515.0,1472732.0,320237.0,0.2855923548887374,1.3134053841373732,False,21633.0,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,above,above,above,above,above,above,above,above,above,above,False,True,False,0.0,0.45424476295479604,pdh,23.0
2025-01-31,06:30,13:00,21921.5,21764.0,157.5,21842.75,291540.0,1422745.0,0.2049137406914099,21965.75,21536.25,21580.75,True,failed_high,high,21536.25,,385.25,2.4460317460317462,10,21838.25,21764.0,74.25,21799.0,up,auction,21774.25,21791.0,16.75,6364.0,21748.75,21419.0,21614.5,21434.0,21525.5,1397587.0,420601.0,0.20860239827645793,0.6931509910818091,False,21801.125,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,below,above,below,above,above,above,above,above,above,above,True,True,False,0.28095238095238095,1.446031746031746,pdh,52.375
2025-02-03,06:30,13:00,21363.5,21113.25,250.25,21238.375,465572.0,1488523.0,0.3127744751004855,21520.0,21113.25,21404.5,False,none,high,,,42.25,0.16883116883116883,10,21314.75,21177.75,137.0,21307.25,up,auction,21215.75,21206.0,-9.75,10068.0,21965.75,21531.5,21909.5,21582.0,21689.25,1464138.0,291540.0,0.3179836873300194,1.5969403855388626,True,21246.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,below,below,below,below,below,below,below,below,below,below,True,False,False,0.6253746253746254,0.0,pdl,285.25
2025-02-04,06:30,13:00,21663.5,21405.0,258.5,21534.25,297553.0,881350.0,0.33761048391671866,21694.75,21405.0,21668.0,False,none,high,,,113.25,0.4381044487427466,10,21523.5,21405.0,118.5,21507.0,up,auction,21421.75,21422.25,0.5,7188.0,21577.75,21113.25,21424.75,21119.0,21379.0,1541199.0,465572.0,0.19306591815852464,0.6391127473301659,True,21464.25,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,above,above,above,above,above,below,above,above,above,above,True,False,False,0.12088974854932302,0.0,vah,39.5
2025-02-05,06:30,13:00,21609.0,21501.0,108.0,21555.0,319016.0,941397.0,0.33887509732875715,21769.25,21501.0,21760.5,False,none,high,,,47.0,0.4351851851851852,10,21587.75,21519.0,68.75,21568.5,up,auction,21550.75,21545.25,-5.5,7443.0,21694.75,21405.0,21647.0,21418.25,21584.0,933250.0,297553.0,0.3418333779801768,1.072131687464082,True,21553.375,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,above,above,above,above,above,below,above,below,above,below,True,False,False,1.4837962962962963,0.0,poc,30.625
2025-02-06,06:30,13:00,21849.5,21738.0,111.5,21793.75,287840.0,905848.0,0.31775750457030316,21882.0,21711.75,21871.0,True,failed_low,low,,21882.0,144.0,1.2914798206278026,10,21781.0,21738.0,43.0,21763.75,down,auction,21776.75,21757.5,-19.25,7728.0,21795.5,21501.0,21705.0,21513.75,21535.75,976157.0,319016.0,0.2948705997088583,0.902274494069263,True,21759.5,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,above,above,above,above,above,below,above,above,above,above,True,True,False,0.2914798206278027,0.23542600896860988,pdh,36.0
2025-02-07,06:30,13:00,21967.75,21685.0,282.75,21826.375,395739.0,1270209.0,0.3115542402864411,21967.75,21553.0,21588.0,False,none,low,,,118.75,0.41998231653404067,10,21967.75,21869.5,98.25,21946.5,up,auction,21885.5,21898.25,12.75,8725.0,21882.0,21711.75,21808.75,21726.5,21784.25,958068.0,287840.0,0.41305940705670163,1.3748575597554196,False,21918.625,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,below,below,below,below,below,above,above,above,above,above,False,True,False,0.0,0.46684350132625996,pdh,36.625
2025-02-10,06:30,13:00,21873.5,21742.25,131.25,21807.875,251415.0,694148.0,0.3621922126117197,21893.75,21742.25,21843.25,False,failed_high,high,21817.25,,56.25,0.42857142857142855,10,21787.0,21742.25,44.75,21776.25,up,auction,21764.5,21756.5,-8.0,6845.0,21967.75,21553.0,21825.0,21611.75,21698.25,1289992.0,395739.0,0.194896557498031,0.6353050874439972,True,21764.625,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,below,above,above,above,above,below,above,below,above,above,True,False,False,0.15428571428571428,0.0,vah,60.375
